    p    n    -0.78235    -1.80574  -1
  1.50  9.00    1.276   -1.987    2.082
  2.00  9.00    1.280   -1.990    2.086
  3.00  9.00    1.289   -1.996    2.099
  5.00  9.00    1.314   -2.006    2.135
 10.00  9.00    1.405   -1.841    2.278
 30.00  9.00    2.032   -0.522    3.195
100.00  9.00    2.729    0.944    4.214
  0.01 10.00    2.796   -1.986    3.826
  0.10 10.00    2.796   -1.986    3.826
  0.20 10.00    2.796   -1.986    3.826
  0.40 10.00    2.796   -1.986    3.826
  0.70 10.00    2.796   -1.986    3.826
  1.00 10.00    2.796   -1.986    3.827
  1.50 10.00    2.797   -1.987    3.828
  2.00 10.00    2.799   -1.990    3.830
  3.00 10.00    2.802   -1.996    3.836
  5.00 10.00    2.812   -2.006    3.849
 10.00 10.00    2.843   -1.841    3.900
 30.00 10.00    3.076   -0.477    4.289
100.00 10.00    3.335    1.039    4.721
  0.01 11.00    4.404   -1.986    5.722
  0.10 11.00    4.404   -1.986    5.722
  0.20 11.00    4.404   -1.986    5.722
  0.40 11.00    4.404   -1.986    5.722
  0.70 11.00    4.404   -1.986    5.722
  1.00 11.00    4.404   -1.986    5.722
  1.50 11.00    4.404   -1.987    5.722
  2.00 11.00    4.405   -1.990    5.723
  3.00 11.00    4.406   -1.996    5.725
  5.00 11.00    4.408   -2.006    5.729
 10.00 11.00    4.416   -1.841    5.743
 30.00 11.00    4.486   -0.474    5.868
100.00 11.00    4.564    1.045    6.007
  o17  f17    -2.76051    -1.73712   1
  0.01  1.00 -100.000 -100.000 -100.000
  0.10  1.00 -100.000 -100.000 -100.000
  0.20  1.00 -100.000  -72.639  -73.918
  0.40  1.00  -71.615  -36.441  -37.413
  0.70  1.00  -41.407  -21.007  -21.727
  1.00  1.00  -29.323  -15.597  -16.154
  1.50  1.00  -19.925  -11.237  -11.605
  2.00  1.00  -15.228   -8.922   -9.154
  3.00  1.00  -10.535   -6.410   -6.446
  5.00  1.00   -6.802   -4.070   -3.855
 10.00  1.00   -4.061   -1.725   -1.163
 30.00  1.00   -2.367    1.202    2.291
100.00  1.00   -0.485    4.454    6.129
  0.01  2.00 -100.000 -100.000 -100.000
  0.10  2.00 -100.000 -100.000 -100.000
  0.20  2.00 -100.000  -73.639  -74.919
  0.40  2.00  -71.615  -37.441  -38.413
  0.70  2.00  -41.407  -21.420  -22.140
  1.00  2.00  -29.323  -15.619  -16.176
  1.50  2.00  -19.925  -11.238  -11.607
  2.00  2.00  -15.228   -8.923   -9.155
  3.00  2.00  -10.535   -6.410   -6.446
  5.00  2.00   -6.802   -4.070   -3.855
 10.00  2.00   -4.061   -1.725   -1.163
 30.00  2.00   -2.367    1.202    2.291
100.00  2.00   -0.485    4.454    6.129
  0.01  3.00 -100.000 -100.000 -100.000
  0.10  3.00 -100.000 -100.000 -100.000
  0.20  3.00 -100.000  -74.645  -75.924
  0.40  3.00  -71.615  -38.443  -39.415
  0.70  3.00  -41.407  -22.368  -23.089
  1.00  3.00  -29.323  -15.825  -16.382
  1.50  3.00  -19.925  -11.253  -11.621
  2.00  3.00  -15.228   -8.926   -9.158
  3.00  3.00  -10.535   -6.410   -6.447
  5.00  3.00   -6.802   -4.070   -3.855
 10.00  3.00   -4.061   -1.725   -1.163
 30.00  3.00   -2.367    1.202    2.291
100.00  3.00   -0.485    4.454    6.129
  0.01  4.00 -100.000 -100.000 -100.000
  0.10  4.00 -100.000 -100.000 -100.000
  0.20  4.00 -100.000  -75.700  -76.979
  0.40  4.00  -71.615  -39.460  -40.433
  0.70  4.00  -41.407  -23.374  -24.095
  1.00  4.00  -29.323  -16.647  -17.204
  1.50  4.00  -19.926  -11.395  -11.763
  2.00  4.00  -15.228   -8.957   -9.189
  3.00  4.00  -10.536   -6.416   -6.452
  5.00  4.00   -6.802   -4.071   -3.855
 10.00  4.00   -4.061   -1.726   -1.163
 30.00  4.00   -2.367    1.202    2.291
100.00  4.00   -0.485    4.455    6.129
  0.01  5.00 -100.000 -100.000 -100.000
